City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,kourou,5.1552,-52.6478,28.19,73,3,4.07,GF,1731958919
322,lospalos,-8.5186,127.0025,22.75,92,56,1.63,TL,1731958920
323,grosseto,42.8333,11.25,10.83,82,0,2.57,IT,1731958921
324,ed damer,17.5928,33.9592,26.66,30,37,8.0,SD,1731958922
325,lekki,6.3607,4.8333,25.76,87,23,1.23,NG,1731958923
326,kuta,-8.7233,115.1723,27.97,89,40,1.03,ID,1731958925
327,weno,7.4515,151.8468,27.97,89,75,4.12,FM,1731958926
328,tripoli,32.8752,13.1875,22.28,52,65,2.82,LY,1731958927
329,homer,59.6425,-151.5483,-7.21,55,0,4.47,US,1731958928
330,pandan,14.0453,124.1694,25.97,90,100,3.94,PH,1731958929
331,villa emilio carranza,19.9667,-96.6,28.61,71,59,3.07,MX,1731958930
332,zhalantun,48.0,122.7167,-9.1,34,88,0.89,CN,1731958931
333,egilsstadir,65.2653,-14.3948,-3.05,93,100,10.29,IS,1731958932
334,smithers,54.7804,-127.1743,0.18,80,20,3.09,CA,1731958934
335,nguigmi,14.2495,13.1092,23.24,20,0,6.32,NE,1731958935
336,nogliki,51.8333,143.1667,-11.75,50,18,5.52,RU,1731958936
337,caleta olivia,-46.4393,-67.5281,12.45,56,0,7.48,AR,1731958937
338,la passe,45.5549,-0.8967,12.94,84,100,4.25,FR,1731958938
339,stutterheim,-32.5708,27.424,14.99,94,96,1.02,ZA,1731958939
340,hailey,43.5196,-114.3153,0.92,40,0,10.73,US,1731958940
341,sangre grande,10.5835,-61.1177,31.98,88,100,2.55,TT,1731958942
342,saint-pierre,-21.3393,55.4781,23.82,83,20,9.26,RE,1731958943
343,escarcega,18.6089,-90.7454,31.8,54,100,1.54,MX,1731958944
344,san ignacio de velasco,-16.3667,-60.95,27.08,74,83,4.94,BO,1731958945
345,altai,46.3722,96.2583,-7.63,37,39,1.04,MN,1731958946
346,magadan,59.5667,150.8,-3.55,83,100,7.99,RU,1731958691
347,zhanaozen,43.3,52.8,3.68,83,5,4.08,KZ,1731958949
348,robbah,33.2797,6.9098,22.8,21,0,5.04,DZ,1731958950
349,port lincoln,-34.7333,135.8667,14.47,70,88,4.23,AU,1731958951
350,umluj,25.0213,37.2685,23.99,54,0,5.69,SA,1731958952
351,lodja,-3.4833,23.4333,21.29,91,63,0.15,CD,1731958953
352,glace bay,46.1969,-59.957,7.49,99,100,7.72,CA,1731958954
353,lusambo,-4.9667,23.45,22.78,87,49,0.24,CD,1731958955
354,betio village,1.358,172.9211,28.02,68,97,6.81,KI,1731958957
355,carauari,-4.8828,-66.8958,32.69,51,92,0.63,BR,1731958958
356,anuradhapura,8.3565,80.4173,23.39,97,97,2.01,LK,1731958959
357,rio grande,-32.035,-52.0986,20.46,81,100,8.36,BR,1731958960
358,rabo de peixe,37.8,-25.5833,17.77,99,20,6.17,PT,1731958961
359,betong,5.7743,101.0723,20.7,99,99,1.15,TH,1731958962
360,shumikha,55.2261,63.2961,-2.12,92,62,3.47,RU,1731958963
361,montpon-menesterol,45.0,0.1667,10.12,86,98,1.9,FR,1731958965
